pk,target
8752165206,1
8752122153,0
8752111856,0
8752061931,1
8752058691,1
8751941400,1
8751831441,0
8751797148,0
8751750688,1
8751698652,0
8751572859,0
8751446856,0
8751428392,0
8751403290,0
8751401047,0
8751341480,0
8751327201,0
8751291433,1
8751233723,0
8751189708,0
8751144592,0
8751081461,0
8751058699,0
8750804981,0
8750765983,0
8750758932,0
8750720628,0
8750713981,0
8750625572,0
8750604157,0
8750486909,0
8750460257,0
8750418997,0
8750400621,0
8750397767,0
8750277611,1
8750163047,1
8749998730,0
8749888275,0
8749886778,0
8749626558,0
8749601742,0
8748591735,0
8748561544,0
8748387483,0
8747861680,0
8747101568,0
8746998968,0
8746953491,0
8746658990,0
8746629982,0
8746601476,0
8746481633,0
8746481407,0
8746325863,0
8746325080,0
8746070714,0
8744089619,0
8743858142,1
8743693285,1
8743406026,0
8743316732,1
8743292631,0
8743073764,0
8743019812,1
8742984833,0
8742891679,0
8742649863,0
8742627137,0
8742623610,0
8742497186,1
8742396715,0
8742315651,1
8742303854,1
8742206647,1
8742191696,1
8742121677,0
8742029664,1
8741956992,1
8741870722,1
8741705276,1
8741704114,0
8741605762,0
8741542803,1
8741343288,1
8741218807,0
8741123415,1
8741118669,1
8741113841,1
8740909308,0
8740518001,0
8740504018,0
8740486452,1
8740456580,0
8740435341,0
8740398618,0
8740368703,0
8739980610,1
8739953219,1
8739939604,1
8739834237,0
8739792950,0
8739483575,1
8739416170,1
8739414671,1
8739236050,1
8739067481,0
8738787333,1
8738649953,1
8652784878,1
8652730108,0
8652559295,0
8652436583,0
8652367719,0
8652299493,0
8652290289,0
8652227516,1
8652192734,1
8652128691,0
8652043144,1
8652018221,1
8651887714,0
8651747190,0
8651735354,0
8651701883,0
8651646620,0
8651633972,0
8651570718,0
8651558711,1
8651471382,0
8651465133,1
8651423424,1
8651361160,1
8651349303,0
8651279220,0
8651263244,0
8651185394,0
8651128078,1
8651127087,1
8651113809,0
8651106754,1
8651094981,1
8651051092,1
8650943886,0
8650794622,0
8650786177,0
8650734209,0
8650727950,0
8650707496,0
8650679278,0
8650550178,0
8650533411,0
8650421935,0
8650382100,1
8650377380,0
8650318977,0
8650285185,0
8650192982,0
8650085710,0
8650004364,1
8649861040,0
8649840308,0
8649446072,0
8649084806,0
8648607776,1
8646929830,1
8646928068,1
8646860079,0
8646709323,1
8646483871,0
8646341640,0
8646325927,0
8643899757,0
8643772586,1
8643671015,1
8643646584,1
8643631241,1
8643587634,0
8643554544,0
8643541071,0
8643530952,0
8643495391,1
8643381773,0
8643273517,0
8643244351,0
8643134457,1
8642989456,1
8642792580,1
8642742242,0
8642727264,0
8642603213,0
8642398876,1
8642340788,1
8642272297,0
8642256814,0
8642158876,1
8642153191,0
8641975241,0
8641181640,0
8641167590,1
8641167260,1
8641117245,1
8641105669,1
8640867116,0
8640823700,0
8640665507,1
8640375157,0
8640267174,1
8640176259,1
8640164031,0
8640153302,0
8639545115,0
8639473706,0
8639252892,0
8638878186,0
8552647436,1
8552595570,0
8552504630,0
8552484734,0
8552483311,0
8552386879,0
8552318922,1
8552286408,0
8552118532,0
8552101387,0
8552064461,0
8551938963,0
8551881708,1
8551826074,1
8551702660,1
8551574243,0
8551443964,0
8551386212,0
8551350707,1
8551297833,0
8551294202,0
8551291083,0
8551232082,0
8551095056,1
8551009114,0
8551007500,0
8551004057,0
8550988858,1
8550953239,1
8550922002,0
8550789131,1
8550759900,0
8550712882,1
8550635907,0
8550548062,0
8550514146,0
8550508572,0
8550484640,0
8550443582,0
8550438834,0
8550394285,0
8550356835,0
8550322702,0
8550225609,0
8550116887,0
8549878077,0
8549742473,1
8549673350,0
8549595346,0
8549074326,0
8549010848,0
8548276031,0
8547728182,0
8547706616,0
8547450398,0
8547136760,0
8547017845,0
8546712507,0
8546710299,0
8546492252,0
8546385545,1
8546307811,0
8546148066,0
8545878694,1
8545308840,1
8543930158,1
8543765739,0
8543765418,0
8543729487,1
8543637571,1
8543632692,1
8543620253,1
8543514942,1
8543486115,0
8543485876,1
8543462197,0
8543416604,1
8543319419,1
8543272241,1
8543164724,0
8543094959,1
8543072996,0
8542957093,0
8542886061,0
8542828880,1
8542794888,1
8542746271,1
8542644455,0
8542608311,0
8542355060,1
8542335634,0
8542311712,1
8542292712,1
8542286998,0
8542258850,1
8542256007,0
8542233674,1
8542041401,0
8542012982,0
8541163100,0
8540799190,0
8540583268,1
8540544582,1
8540209420,0
8539868987,1
8539469046,1
8539375283,0
8539345054,0
8539340708,1
8539005248,0
8452861877,0
8452776486,1
8452577375,0
8452538634,1
8452373554,1
8452287706,0
8452125412,0
8452125012,1
8452055819,0
8451977203,0
8451967572,0
8451877536,0
8451875675,0
8451831427,1
8451826635,0
8451610635,0
8451523949,0
8451292005,0
8451264789,1
8451228159,0
8451209729,1
8451097169,1
8451025285,1
8450975673,0
8450951867,1
8450910128,0
8450604259,1
8450532946,1
8450437868,0
8450430792,0
8450419218,0
8450396568,1
8450330960,0
8450188605,0
8450159654,1
8450126927,0
8450060264,1
8449930291,0
8449819159,0
8449444174,1
8449442649,0
8449262318,0
8448539087,0
8448378151,0
8447510806,0
8447375911,0
8446927249,0
8446856901,0
8446752294,0
8446644287,0
8446608384,0
8446405508,0
8446204575,0
8444132130,0
8443921039,1
8443905852,1
8443889078,1
8443848202,0
8443382862,0
8443372199,0
8443290096,1
8443243632,1
8443236570,0
8443197267,0
8443143676,0
8442934212,1
8442872943,0
8442872693,1
8442732236,0
8442656199,0
8442502120,0
8442465354,1
8442463998,0
8442382710,0
8442371068,1
8442331356,0
8442318972,0
8442302512,1
8442289307,0
8442275211,1
8442227096,1
8442200427,0
8442130657,0
8441783336,1
8441664310,0
8441502514,0
8441418199,0
8441291430,0
8441265339,1
8441194467,0
8441133719,1
8441111424,1
8441101881,0
8441056716,0
8441038487,0
8441006098,1
8440899660,1
8440394704,0
8440382689,0
8440267794,0
8440227600,1
8440060784,1
8440000141,0
8439713638,0
8439639756,0
8439625644,1
8439351886,1
8439309380,0
8439242153,1
8438590764,0
8352734222,1
8352723117,0
8352695894,0
8352682677,0
8352553139,0
8352503973,1
8352400489,0
8352149535,1
8352106455,1
8352012339,1
8351999090,0
8351791278,0
8351704566,0
8351702233,1
8351674713,1
8351529619,1
8351476405,1
8351195380,1
8351182057,0
8351157618,1
8351142067,0
8351093077,0
8351077303,0
8351042066,0
8350981642,0
8350938256,0
8350932132,0
8350922157,0
8350906581,0
8350898352,0
8350873416,0
8350856477,0
8350826602,0
8350826181,1
8350808999,1
8350781583,0
8350672509,0
8350643019,1
8350595418,0
8350562766,0
8350527981,0
8350498781,0
8350489754,0
8350486469,1
8350396338,0
8350329060,0
8350256580,1
8350201655,0
8350198036,0
8350157677,0
8349909378,0
8349871227,0
8349781346,0
8349769279,0
8349676708,0
8349642350,0
8349164159,0
8349121813,0
8349065814,0
8348660715,1
8347930035,0
8347635837,0
8347487040,0
8347127096,0
8346739123,0
8346688874,0
8346602173,0
8346601660,1
8346439356,0
8346409236,0
8346287004,0
8346286981,0
8346122777,1
8344022219,0
8343820151,0
8343716267,1
8343686048,1
8343681235,0
8343647546,0
8343631311,0
8343615109,0
8343614242,0
8343594352,0
8343575040,1
8343446641,0
8343277258,1
8343240274,1
8343234135,1
8342675536,0
8342648289,0
8342603750,0
8342554486,1
8342518590,0
8342374240,1
8342370826,0
8342367699,1
8342265295,0
8342230567,1
8342197527,1
8342151701,0
8342076216,1
8342004190,1
8341947973,1
8341843983,1
8341816365,0
8341585029,0
8341128445,0
8341108970,0
8341014199,0
8340964210,1
8340760673,0
8340742712,1
8340403290,0
8340218267,1
8340208135,0
8340190345,1
8339905770,0
8339765070,1
8339740588,1
8339396112,1
8339177787,0
8339007216,0
8338622239,0
8252511882,0
8252484973,1
8252258500,0
8252230358,0
8252162353,1
8252072892,0
8251971347,0
8251898941,0
8251886202,0
8251793515,0
8251406686,0
8251400640,1
8251296194,0
8251278358,0
8251239624,0
8251169393,1
8251166138,0
8251141198,1
8251136473,0
8251123725,0
8251114588,1
8251099154,1
8251085832,0
8251075071,1
8250954853,1
8250916953,0
8250868860,1
8250852519,1
8250839674,0
8250818847,0
8250782541,0
8250756704,0
8250730959,0
8250723139,0
8250716526,1
8250704106,0
8250670712,0
8250637622,1
8250496972,0
8250456691,0
8250454591,0
8250387718,0
8250339224,0
8250266775,1
8250138421,0
8250118703,1
8250106165,1
8250093254,1
8249274311,0
8249107979,1
8249073643,0
8248493433,0
8248049668,0
8247572861,0
8247453871,0
8247317359,1
8247038097,1
8246820702,1
8246496117,0
8246481382,0
8246404976,1
8246287028,1
8246103243,0
8244040812,0
8243863784,0
8243806825,1
8243768492,0
8243680762,1
8243670997,0
8243664954,1
8243567106,1
8243537090,0
8243498509,0
8243218987,0
8243187120,0
8243175395,1
8243163412,0
8243137030,0
8243094684,0
8243028570,1
8242971994,1
8242952588,0
8242923071,1
8242920333,0
8242807972,0
8242690555,0
8242582567,0
8242425474,0
8242392340,1
8242373316,0
8242361875,0
8242338390,0
8242323496,1
8242264457,0
8242250331,0
8242198747,0
8242158952,0
8242005742,0
8241959985,0
8241251907,0
8241155179,1
8241097942,1
8241042960,1
8241007625,1
8240359947,0
8240306722,0
8240025392,0
8239944367,0
8239722222,1
8239662614,0
8239633745,0
8239512788,1
8239342718,0
8239264064,0
8238974097,0
8152769240,0
8152706539,1
8152612633,0
8152605345,1
8152586320,1
8152446818,0
8152325767,0
8152307544,0
8152199215,0
8152067243,1
8151978178,0
8151958864,1
8151880380,0
8151852227,0
8151834130,0
8151782082,0
8151719113,0
8151698952,1
8151655846,1
8151554067,0
8151379953,0
8151309856,0
8151245992,1
8151233594,0
8151158952,0
8151140637,0
8151054966,1
8151031002,0
8151014135,1
8150995153,1
8150994478,0
8150962062,1
8150939759,0
8150878191,0
8150875972,0
8150859713,1
8150825203,1
8150820701,0
8150816603,0
8150810236,0
8150802613,0
8150757217,1
8150727480,1
8150708639,0
8150685152,0
8150545361,0
8150509756,0
8150457126,1
8150415898,0
8150384533,0
8150312350,0
8150262717,0
8150210271,0
8150201111,1
8150169059,0
8150158260,1
8149923959,1
8149754392,0
8149738472,1
8149385693,0
8149349511,0
8149307394,0
8149142396,0
8149116106,0
8149109252,0
8148827592,0
8148413704,1
8148022197,0
8147929989,0
8147654660,0
8147411520,0
8147371448,0
8147230122,0
8146523213,0
8146469717,1
8146459678,0
8146400802,0
8146165843,1
8146035692,0
8145990163,1
8145899626,0
8145714563,1
8144066385,0
8144043613,1
8144041228,1
8143862919,1
8143673026,0
8143650112,1
8143634170,0
8143623249,1
8143572289,0
8143559870,0
8143554828,1
8143482924,0
8143170968,1
8143143391,0
8143097405,0
8143050156,1
8142901628,0
8142868134,0
8142831948,1
8142821444,1
8142734260,0
8142726344,1
8142250081,1
8142101437,1
8142039273,0
8141965392,0
8141949342,1
8141846298,0
8141737113,0
8141703266,1
8141682692,0
8141424579,1
8141376638,1
8141144112,0
8140926440,1
8140836915,1
8140824021,0
8140310272,1
8140260092,0
8140241294,0
8140008140,1
8139819233,0
8139282983,0
8139270608,0
8139155796,0
8138782429,0
6831547671,0
6831503978,0
6831382245,0
6830985487,1
6830661461,1
6830343502,0
6830244296,0
6830212355,1
6830197067,0
6829836086,1
6829738980,0
6829702993,1
6829433248,1
6829390605,1
6829332818,0
6829240953,0
6828970499,1
6828705909,1
6828582134,0
6821119371,1
6820333210,0
6820238258,0
6820151085,0
6819698952,0
6819498455,0
6819269777,1
6819082143,0
6819058372,1
6818766386,0
6818749774,0
6818602740,0
6818076547,0
6817980687,0
6817876561,0
6817778823,0
6817746910,0
6817232534,1
6816974122,0
6816922532,0
6816868097,1
6816862607,1
6816779666,1
6816491680,1
6816393849,1
6816265907,0
6816233616,0
6816154843,1
6815803698,0
6815779927,1
6815772962,0
6815699779,0
6815670164,0
6815669413,0
6815289224,0
6815065728,0
6815019190,1
6814611506,1
6814372007,0
6814361967,0
6814177308,0
6814092570,1
6766035307,0
6765887774,1
6765042642,0
6759020277,0
6757917546,1
6757837412,0
6757644148,0
6757319266,1
6756711904,0
6756698417,0
6756559555,0
6756556052,0
6756500725,0
6756481863,0
6756376398,1
6755980087,1
6755951213,0
6755757021,1
6755210534,1
6755131872,1
6754996520,1
6754836998,0
6754778202,0
6754708919,0
6754668097,1
6754335995,0
6753993368,0
6753909008,0
6753790197,0
6753773610,0
6753637331,1
6753619007,0
6753601414,0
6753565535,0
6753131645,1
6753102836,1
6753049950,0
6752752787,0
6752740580,0
6752739169,0
6752675642,0
6752664741,1
6752270882,1
6752192507,0
6751924147,0
6703809766,0
6703612289,0
6703415188,1
6703367644,0
6703160766,1
6702940247,1
6702909914,0
6702823718,0
6702670130,0
6702160220,0
6701779567,0
6701738711,0
6701625059,0
6701533603,0
6701527536,0
6701516753,0
6701383067,0
6701358721,0
6701306971,0
6701215876,0
6701204127,0
6701118546,1
6701074987,0
6701037294,0
6700890515,0
6700756029,1
6700680950,0
6700640969,1
6700463014,0
6700355310,0
6700123561,0
6700122688,0
6665333154,0
6664485351,0
6658412166,1
6658011808,1
6657855469,1
6657693031,1
6657672028,1
6657663890,1
6657660982,1
6657622223,0
6657609302,1
6657386357,0
6656872614,1
6656392870,0
6656317356,0
6655985871,1
6655860044,0
6655810893,0
6655668558,0
6655551395,0
6655192759,0
6654696580,0
6654636664,0
6654587720,0
6654357281,1
6654187848,0
6654172010,0
6654166239,0
6654163088,0
6654000767,0
6653654473,1
6653618538,0
6653535878,0
6653502717,1
6653501083,0
6653272202,0
6653262586,1
6653122479,0
6653107997,1
6652566965,0
6652516580,0
6652485951,0
6603421583,0
6602919543,1
6602918038,0
6602816407,0
6602802794,0
6602687269,0
6602255353,0
6602188973,0
6602111999,0
6601925954,1
6601867568,1
6601797639,0
6601527394,0
6601374169,1
6601366512,0
6601170776,0
6601060881,1
6601042789,0
6600998917,0
6600813628,1
6600743486,0
6600700760,0
6566063653,1
6565581360,0
6558522270,0
6557986940,1
6557865242,1
6557565083,0
6557474616,0
6557388465,1
6557306338,1
6557280018,0
6557209710,0
6557179475,0
6557077125,0
6556993354,1
6556942627,0
6556879320,0
6556818252,0
6556793631,1
6556769037,1
6556708700,1
6556639289,0
6556291031,1
6556169341,0
6556111315,0
6556006853,1
6555742098,1
6555501160,1
6555181764,1
6555106908,0
6554992380,0
6554765227,0
6554675598,0
6554662198,1
6554405745,0
6554314779,1
6554192246,0
6554153703,0
6554071230,1
6553967258,1
6553844002,0
6553807702,1
6553633722,1
6553529878,0
6553217499,0
6553200384,0
6553069560,0
6553033951,0
6552562552,0
6552487352,0
6552471991,0
6552393041,0
6552289682,0
6551478807,1
6503476028,0
6503374734,0
6503349665,0
6503268503,0
6503191770,0
6502688394,0
6502532106,1
6502247348,0
6502048357,1
6501839531,1
6501759428,0
6501723403,0
6501614874,0
6501598135,1
6501274949,1
6500892856,0
6500616190,0
6500612988,0
6500404213,0
6463322960,0
6458752871,0
6457754045,1
6457616000,0
6457607731,1
6457355445,0
6457350492,1
6457337216,1
6456918774,1
6455352442,0
6455205302,1
6455160192,1
6455026537,1
6454654772,0
6454221199,0
6454198745,1
6453988991,0
6453896730,0
6453831841,0
6453790103,0
6453685756,1
6453529983,0
6453353925,0
6453352969,1
6453318711,0
6453274897,0
6453085832,0
6453022676,0
6452890136,0
6452887805,0
6452821434,1
6452818850,1
6452750729,0
6452744953,1
6452741076,0
6452456746,0
6452273067,0
6452266471,0
6452257228,0
6452102717,0
6452037867,1
6451960362,0
6451916319,1
6451900623,1
6403372972,0
6403301452,1
6403296595,0
6403178319,1
6402793494,0
6402778114,0
6402720367,0
6402673882,1
6402651963,0
6402510622,1
6401828476,0
6401808096,0
6401750047,0
6401731839,0
6401678923,0
6401657452,0
6401656481,0
6401638287,0
6401614613,1
6401278418,0
6401242903,1
6401236864,1
6401087948,0
6400780818,0
6400720649,0
6400660494,0
6400641452,0
6400625833,0
6400619253,1
6400583730,0
6400360026,1
6400273344,0
6400234973,0
6400094128,1
6400085624,1
6366048287,1
6358623493,1
6357945544,0
6357803322,1
6357503313,0
6357423002,1
6357022464,0
6356808149,0
6356505397,0
6355426301,1
6355274094,1
6355203211,0
6355094333,1
6355046812,1
6355026874,0
6355017166,1
6354933100,0
6354770817,1
6354217642,0
6354116269,0
6353927216,1
6353877956,0
6353647590,0
6353603173,0
6353519450,0
6353459004,1
6353239111,0
6353146983,1
6353015698,1
6353010413,0
6352968037,0
6352849534,0
6352707309,0
6352643140,1
6352510853,1
6352054668,0
6351815497,0
6303701508,1
6303376597,0
6303237054,0
6303229413,0
6303124577,0
6303100910,0
6302744230,1
6302551323,0
6302464547,1
6302455700,0
6302233461,0
6302151186,0
6302026103,1
6301961709,1
6301919341,1
6301907158,0
6301742452,1
6301663688,0
6301603613,1
6301586834,0
6301582363,0
6301312594,0
6301310024,1
6301295807,1
6301044333,0
6300910051,0
6300795848,0
6300756746,1
6300131425,1
6265858616,0
6265240773,0
6258965793,1
6258911396,1
6258537730,1
6258085046,0
6257988053,0
6257896281,1
6257562089,0
6257022708,1
6256974489,0
6256876583,1
6256623224,0
6256569339,1
6256493269,0
6256453544,0
6255522627,1
6255016718,1
6254822824,1
6254668530,0
6254209229,1
6254065238,0
6253724216,0
6253718317,0
6253543560,0
6253210139,0
6253199663,0
6253121298,1
6253120963,1
6252730943,0
6252640203,0
6252549702,0
6252424499,1
6203811587,0
6203594427,0
6203467399,0
6203462188,0
6203413878,0
6203332610,0
6202951476,0
6202755772,0
6202749863,0
6202583132,0
6202458684,0
6202431683,0
6202423271,1
6202422670,1
6201843211,1
6201681150,1
6201669585,1
6201660203,0
6201547150,1
6201419885,1
6201123597,0
6201094286,1
6201074682,0
6201068514,0
6201044582,0
6200658154,0
6200568058,0
6200153008,1
6200026090,0
6166034768,1
6165650168,0
6165016379,0
6158737483,0
6158322335,0
6157859702,1
6157817409,0
6157624885,0
6157452733,0
6157140317,0
6157137076,1
6157048742,0
6157041617,0
6156824497,1
6156733153,0
6156667799,1
6156295203,0
6154935663,0
6154664956,0
6154653207,1
6154642733,0
6154532050,0
6154409378,1
6154237005,1
6154163764,1
6153509312,1
6153351467,1
6153300418,0
6153136806,1
6152952962,0
6152930947,1
6152844049,0
6152688080,0
6152669738,0
6152397252,1
6152256729,0
6152155886,0
6150603972,0
6103493786,1
6103369089,0
6103265888,1
6103249106,0
6103068199,0
6102931012,1
6102896625,0
6102778817,0
6102677693,0
6102340840,1
6102198318,0
6102130830,0
6102127077,1
6102034131,0
6101933229,1
6101863318,0
6101741273,0
6101712308,0
6101650505,0
6101613416,0
6101594682,1
6101563654,0
6101455931,0
6101440704,0
6101374530,1
6101266465,0
6101248075,1
6101035639,0
6101032717,1
6101024933,0
6101021219,1
6100895868,0
6100833581,1
6100667657,1
6100240250,0
6100209471,0
4851381743,1
4851320088,1
4851203522,0
4851096956,0
4851094876,0
4850912544,0
4850864862,0
4850711422,0
4850630277,1
4850609762,0
4850513003,0
4850481614,0
4850310417,1
4849895184,0
4849751213,0
4849714616,0
4849598271,0
4849586117,1
4849501453,0
4849450989,0
4849211884,0
4849185223,0
4849170745,1
4849077516,0
4849048503,1
4848875334,0
4848839024,0
4848137310,0
4848105398,1
4847883141,0
4840634934,1
4840529262,1
4840294152,1
4839713968,1
4839529026,1
4839484769,0
4839477410,1
4839424122,1
4839372204,1
4839277397,0
4839258803,0
4838904327,0
4838900231,0
4838522611,1
4837794367,0
4837623263,1
4837387355,1
4837015350,1
4836834249,1
4836755908,0
4836597686,0
4836535162,0
4836201117,0
4836190156,0
4835399537,1
4834759617,1
4834699709,1
4834667391,1
4751186636,0
4751149877,0
4751139631,0
4750797031,0
4750530896,1
4750476562,0
4750155151,0
4749873245,1
4749798351,0
4749793401,1
4749737306,0
4749725021,1
4749630708,1
4749427967,0
4749416836,0
4749397985,1
4749304624,1
4749084233,1
4749083181,0
4749072989,1
4749041247,0
4749005545,0
4748949363,1
4748869504,0
4748466322,0
4748452029,0
4748352716,1
4747958913,1
4747427826,0
4746406660,0
4741056135,0
4740809411,1
4740802065,0
4740775163,1
4739901988,1
4739507968,0
4739489500,0
4739468802,0
4739340084,1
4738995740,0
4738994760,1
4738986540,1
4738921585,0
4738778368,0
4738152406,1
4737869812,1
4737353547,0
4737286375,0
4737156492,0
4736986790,1
4736776338,0
4736677901,0
4736299142,1
4736111511,1
4736086104,0
4736067688,1
4735617521,0
4735403278,1
4734747884,1
4733835192,0
4644018667,1
4643881555,0
4643761936,1
4643708311,1
4643636686,0
4643544761,0
4643349713,0
4643125069,1
4643102268,1
4642906157,0
4642777680,1
4642453150,0
4642190364,0
4642063469,0
4642042383,1
4641997905,0
4641983360,0
4641864572,0
4641834307,0
4641833883,1
4641674694,1
4641668143,0
4641579889,0
4641500593,0
4641329209,0
4641221116,1
4641176721,0
4641148802,0
4641015673,0
4639671859,0
4633511601,1
4633427986,1
4633148882,0
4632787689,1
4632544449,0
4632437524,1
4632375020,0
4632211051,1
4632045334,1
4631995224,1
4631550822,0
4631546150,1
4630740374,1
4630362586,0
4630015086,1
4629858628,1
4629788393,1
4629774587,0
4629189557,1
4628860645,0
4628729356,1
4628718655,1
4628668563,1
4628125883,1
4626265621,0
4543592070,0
4543445863,0
4543258288,0
4543159315,0
4543032558,1
4543025696,1
4542970381,1
4542764305,1
4542537321,1
4542486462,1
4542445720,1
4542436655,0
4541998855,1
4541911633,1
4541884106,0
4541877093,1
4541775335,0
4541750657,1
4541638907,0
4541597378,1
4541597154,1
4541583497,0
4541543445,1
4541527793,0
4541457436,0
4541393463,0
4541269090,1
4541125529,0
4541124380,1
4541119187,0
4541039032,0
4540378240,0
4539488177,0
4538443445,0
4533292170,1
4533088905,1
4532789696,1
4532338596,0
4531994877,0
4531923893,0
4531605074,0
4531485231,0
4531484114,0
4530857410,1
4530660621,0
4530624472,1
4530044695,1
4529274404,1
4529117394,1
4528888368,0
4528758311,0
4527993943,1
4527886741,1
4527763716,1
4527234069,0
4527187890,1
4527073094,0
4526919342,1
4431316529,1
4430996661,0
4430956338,0
4430926054,0
4430867381,1
4430834183,1
4430764802,0
4430733639,0
4430613049,0
4430474383,1
4430439836,0
4430359012,0
4430321244,0
4430056312,0
4429847359,0
4429556134,0
4429470076,1
4429419997,0
4429366124,0
4429339402,0
4429180438,0
4429134185,1
4429104695,0
4429002747,1
4428960968,0
4428936395,0
4428931128,1
4428927085,0
4428906227,1
4428857572,0
4428798392,0
4428737145,1
4428701621,1
4428594260,0
4428295892,0
4428257461,0
4428255166,0
4428211608,0
4428142896,0
4427829935,0
4423494016,0
4420709893,1
4420643027,0
4420324925,0
4419904301,1
4419856933,0
4419757610,0
4419735114,0
4419675978,0
4419646360,0
4419539127,1
4419510120,1
4419493690,1
4419480798,1
4419443438,1
4419376366,0
4419369740,1
4419265331,1
4419249976,1
4419198637,0
4418925744,1
4418919524,0
4418040451,0
4418017963,1
4417483999,1
4417228596,0
4415995123,0
4415405436,0
4331183346,0
4331129006,0
4330852810,0
4330793781,0
4330516999,0
4330200042,0
4329979221,1
4329937982,1
4329902351,1
4329818631,0
4329693115,0
4329664553,0
4329622194,1
4329537357,0
4329434412,1
4329427961,0
4329412978,0
4329131561,1
4329117984,0
4329066776,1
4328954899,0
4328920007,0
4328667001,1
4328620256,1
4328231498,0
4328202304,0
4324647961,0
4321037089,0
4320983413,1
4320950991,0
4320637828,0
4320043829,0
4319977751,0
4319656295,0
4319564176,0
4319464181,1
4319186778,0
4318843595,1
4318536572,1
4317961997,1
4317732228,0
4317490610,0
4317111631,1
4317000224,1
4316639717,1
4316608299,1
4316452484,1
4316444187,0
4316290740,1
4316048668,0
4315467710,1
4315203647,0
4314816119,1
4314689238,0
4231324327,0
4231188282,1
4231053945,0
4230907648,0
4230856701,1
4230683810,1
4230666987,0
4230554952,1
4230455805,0
4230331751,1
4230208344,1
4229744897,0
4229652105,0
4229475696,0
4229339922,0
4229289596,1
4229210587,1
4229194370,1
4229171247,0
4229163096,1
4229116443,0
4229003238,0
4228666242,0
4228660812,0
4228585857,0
4228527810,1
4228484381,0
4228402883,0
4228076603,0
4223835038,0
4220498039,1
4220306402,0
4219765115,1
4219703305,1
4219635175,1
4219463137,0
4219366726,1
4219334439,1
4219329164,0
4219315365,1
4218537350,0
4218486119,0
4217412205,1
4217326456,0
4216160821,0
4216127362,1
4131198154,0
4131179153,0
4131031988,0
4130847136,1
4130703313,1
4130613585,1
4130539588,0
4130530973,1
4130332533,1
4130305319,0
4130202374,0
4130088690,0
4130040422,1
4130027331,1
4129926300,0
4129915184,0
4129813390,1
4129724668,0
4129710871,0
4129557592,0
4129462184,1
4129222630,0
4129220012,0
4129108419,0
4129101555,0
4129081382,0
4129057867,0
4129026722,0
4128988193,0
4128869340,0
4128831808,0
4128673454,1
4128649916,0
4128604156,1
4128434620,0
4128393430,1
4128266125,0
4128151825,1
4128076599,0
4127585428,0
4127546036,0
4127205106,0
4121016455,0
4120765112,1
4120646990,0
4120514790,1
4120467452,1
4120336306,1
4120206008,0
4120085108,1
4119790263,1
4119735208,0
4119260909,0
4119235428,0
4118969522,0
4118937151,0
4118581144,0
4118226436,0
4117614180,1
4117546517,1
4116962074,0
4116869392,0
4116682972,0
4116238853,1
4116171241,1
2822832639,1
2822824373,0
2822487278,1
2822434116,0
2822105209,1
2821987964,0
2821979024,0
2821836091,0
2821782343,0
2821652176,0
2821551539,1
2821468290,0
2821317713,0
2821137137,0
2821122432,0
2820907875,0
2820893320,1
2820875561,1
2820814640,1
2820681257,0
2820639596,0
2820551207,0
2820408073,0
2820393650,0
2820356776,0
